Date,CPI,Employment Level,Hourly Earnings,Hours Worked,Unemployment Rate,Weekly Income
2013-08-01,233.877,136646,24.02,34.5,7.2,828.69
2013-09-01,234.149,136821,24.06,34.4,7.2,827.66
2013-10-01,233.546,137041,24.09,34.4,7.2,828.7
2013-11-01,233.069,137316,24.16,34.4,6.9,831.1
2013-12-01,233.049,137373,24.18,34.4,6.7,831.79
2014-01-01,233.916,137561,24.23,34.4,6.6,833.51
2014-02-01,234.781,137712,24.33,34.3,6.7,834.52
2014-03-01,236.293,137985,24.31,34.5,6.7,838.7
2014-04-01,237.072,138297,24.34,34.5,6.2,839.73
2014-05-01,237.9,138512,24.4,34.5,6.3,841.8
2014-06-01,238.343,138849,24.46,34.5,6.1,843.87
2014-07-01,238.25,139073,24.48,34.5,6.2,844.56
2014-08-01,237.852,139269,24.54,34.6,6.1,849.08
2014-09-01,238.031,139563,24.55,34.5,5.9,846.98
2014-10-01,237.433,139797,24.58,34.6,5.7,850.47
2014-11-01,236.151,140090,24.66,34.6,5.8,853.24
2014-12-01,234.812,140364,24.63,34.6,5.6,852.2
2015-01-01,233.707,140568,24.75,34.5,5.7,853.88
2015-02-01,234.722,140827,24.8,34.6,5.5,858.08
2015-03-01,236.119,140923,24.85,34.5,5.4,857.32
2015-04-01,236.599,141196,24.89,34.5,5.4,858.7
2015-05-01,237.805,141538,24.97,34.5,5.6,861.46
2015-06-01,238.638,141709,24.97,34.5,5.3,861.46
2015-07-01,238.654,141991,25.01,34.6,5.2,865.35
2015-08-01,238.316,142125,25.09,34.6,5.1,868.11
2015-09-01,237.945,142275,25.11,34.5,5.0,866.3
2015-10-01,237.838,142579,25.2,34.5,5.0,869.4
2015-11-01,237.336,142808,25.25,34.5,5.1,871.12
2015-12-01,236.525,143077,25.25,34.5,5.0,871.12
2016-01-01,236.916,143210,25.37,34.6,4.8,877.8
2016-02-01,237.111,143407,25.38,34.4,4.9,873.07
2016-03-01,238.132,143662,25.45,34.4,5.0,875.48
2016-04-01,239.261,143855,25.53,34.4,5.1,878.23
2016-05-01,240.229,143900,25.58,34.4,4.8,879.95
2016-06-01,241.018,144146,25.62,34.4,4.9,881.33
2016-07-01,240.628,144520,25.69,34.5,4.8,886.3
2016-08-01,240.849,144662,25.71,34.3,4.9,881.85
2016-09-01,241.428,144967,25.77,34.4,5.0,886.49
2016-10-01,241.729,145066,25.9,34.4,4.9,890.96
2016-11-01,241.353,145183,25.9,34.4,4.7,890.96
2016-12-01,241.432,145408,25.93,34.4,4.7,891.99
2017-01-01,242.839,145628,26.0,34.4,4.7,894.4
2017-02-01,243.603,145848,26.07,34.3,4.6,894.2
2017-03-01,243.801,145969,26.11,34.3,4.4,895.57
2017-04-01,244.524,146174,26.17,34.4,4.4,900.25
2017-05-01,244.733,146380,26.21,34.4,4.4,901.62
2017-06-01,244.955,146583,26.26,34.4,4.3,903.34
2017-07-01,244.786,146772,26.35,34.4,4.3,906.44
2017-08-01,245.519,146919,26.37,34.4,4.4,907.13
2017-09-01,246.819,147007,26.49,34.4,4.3,911.26
2017-10-01,246.663,147150,26.5,34.4,4.2,911.6
2017-11-01,246.669,147373,26.54,34.5,4.2,915.63
2017-12-01,246.524,147523,26.63,34.5,4.1,918.74
2018-01-01,247.867,147660,26.72,34.4,4.0,919.17
2018-02-01,248.991,148054,26.74,34.5,4.1,922.53
2018-03-01,249.554,148280,26.85,34.5,4.0,926.32
2018-04-01,250.546,148422,26.91,34.5,4.0,928.4
2018-05-01,251.588,148740,26.98,34.5,3.8,930.81
2018-06-01,251.989,148959,27.03,34.6,4.0,935.24
2018-07-01,252.006,149020,27.1,34.5,3.8,934.95
2018-08-01,252.146,149279,27.21,34.5,3.8,938.74
2018-09-01,252.439,149358,27.32,34.4,3.7,939.81
2018-10-01,252.885,149526,27.37,34.5,3.8,944.26
2018-11-01,252.038,149617,27.44,34.4,3.8,943.94
2018-12-01,251.233,149809,27.56,34.5,3.9,950.82
2019-01-01,251.712,150059,27.59,34.5,4.0,951.86
2019-02-01,252.776,150065,27.69,34.4,3.8,952.54
2019-03-01,254.202,150295,27.77,34.5,3.8,958.06
2019-04-01,255.548,150593,27.79,34.4,3.7,955.98
2019-05-01,256.092,150621,27.88,34.4,3.6,959.07
2019-06-01,256.143,150839,27.96,34.4,3.6,961.82
2019-07-01,256.571,150936,28.03,34.4,3.7,964.23
2019-08-01,256.558,151171,28.14,34.4,3.6,968.02
2019-09-01,256.759,151365,28.16,34.4,3.5,968.7
2019-10-01,257.346,151460,28.23,34.3,3.6,968.29
2019-11-01,257.208,151668,28.34,34.3,3.6,972.06
2019-12-01,256.974,151795,28.38,34.3,3.6,973.43
2020-01-01,257.971,152031,28.43,34.3,3.6,975.15
2020-02-01,258.678,152292,28.54,34.3,3.5,978.92
2020-03-01,258.115,150895,28.74,34.1,4.4,980.03
2020-04-01,256.389,130424,30.04,34.2,14.8,1027.37
2020-05-01,256.394,133040,29.72,34.7,13.2,1031.28
2020-06-01,257.797,137671,29.38,34.6,11.0,1016.55
2020-07-01,259.101,139255,29.39,34.6,10.2,1016.89
2020-08-01,259.918,140819,29.5,34.7,8.4,1023.65
2020-09-01,260.28,141770,29.51,34.7,7.8,1024.0
2020-10-01,260.388,142461,29.55,34.8,6.9,1028.34
2020-11-01,260.229,142731,29.64,34.8,6.7,1031.47
2020-12-01,260.474,142548,29.91,34.8,6.7,1040.87
2021-01-01,261.582,142913,29.92,35.0,6.4,1047.2
2021-02-01,263.014,143422,30.07,34.6,6.2,1040.42
2021-03-01,264.877,144246,30.04,34.9,6.1,1048.4
2021-04-01,267.054,144611,30.23,35.0,6.1,1058.05
2021-05-01,269.195,145032,30.41,34.9,5.8,1061.31
2021-06-01,271.696,145828,30.55,34.8,5.9,1063.14
2021-07-01,273.003,146759,30.66,34.8,5.4,1066.97
2021-08-01,273.567,147246,30.79,34.7,5.1,1068.41
2021-09-01,274.31,147712,30.96,34.8,4.7,1077.41
2021-10-01,276.589,148569,31.15,34.7,4.5,1080.9
2021-11-01,277.948,149206,31.25,34.8,4.2,1087.5
2021-12-01,278.802,149781,31.41,34.8,3.9,1093.07
2022-01-01,281.148,150006,31.62,34.5,4.0,1090.89
2022-02-01,283.716,150875,31.66,34.7,3.8,1098.6
2022-03-01,287.504,151346,31.82,34.6,3.7,1100.97
2022-04-01,289.109,151651,31.96,34.7,3.7,1109.01
2022-05-01,292.296,151892,32.1,34.6,3.6,1110.66
2022-06-01,296.311,152353,32.2,34.6,3.6,1114.12
2022-07-01,296.276,153049,32.35,34.6,3.5,1119.31
2022-08-01,296.171,153286,32.44,34.5,3.6,1119.18
2022-09-01,296.808,153513,32.55,34.5,3.5,1122.97
2022-10-01,298.012,153913,32.7,34.6,3.6,1131.42
2022-11-01,297.711,154210,32.84,34.5,3.6,1132.98
2022-12-01,296.797,154336,32.96,34.4,3.5,1133.82
2023-01-01,299.17,154780,33.05,34.6,3.5,1143.53
2023-02-01,300.84,155086,33.16,34.4,3.6,1140.7
2023-03-01,301.836,155171,33.28,34.4,3.5,1144.83
